rubbish -->,http://www.sec.gov/xxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,132,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,275,1000383,0.0025,,,9999999,Group 2,1140005830,1,1,0,275,9,,,,,,1,0,0,,275,,,0,,20120810,999999,0.04125,360,360,20121001,275,1,0,0,,994333.9,0.04125,4846.49,20130101,0,,275,,,,,,,,,,,275,,,,,,,,,,,275,,,,,,,,0,,393,275,1,,0,,5,18,11,1,,,275,,,,,,774,,,,,275,,,,,,,,0,,,275,18333.34,7442.93,0,0,25776.27,25776.27,1,5,,3,275,,4,,141676.42,8189.28,0.317706,,,,275,Bellaire,TX,77401,1,1,,1390000,3,20120720,275,,,,,,,,0.7194,0.7194,0,0,0,275,,,,,,,,,,,275,,,,,,,,,,5,275,18,0,20420901,18333.34,0,0,7442.93,275,0,0,Full,Two Years,Two Months
,276,1000383,0.0025,,,9999999,Group 2,1140007486,1,1,0,276,3,,,,,,1,0,0,,276,,,5050,,20121009,840000,0.04,360,360,20121201,276,1,0,0,,837575.41,0.04,4010.29,20130101,0,,276,,,,,,,,,,,276,,,,,,,,,,,276,,,,,,,,0,,231,276,1,,0,,6.5,,5,1,,,276,,,,,,799,,,,,276,,,,,,,,0,,,276,18875,0,0,0,18875,18875,1,5,,3,276,,4,,88624.75,5496.23,0.291191,,,,276,Bellaire,TX,77401,1,1,,1400000,3,20120801,276,,,,,,,,0.6036,0.6,0,0,0,276,,,,,,,,,,,276,,,,,,,,,,10,276,,5050,20421101,18875,0,0,0,276,0,0,Full,Two Years,Two Months
,277,1000383,0.0025,,,9999999,Group 2,1140008050,1,1,0,277,9,,,,,,1,0,0,,277,,,0,,20121016,875000,0.03875,360,360,20121201,277,1,0,0,,872417.74,0.03875,4114.57,20130101,0,,277,,,,,,,,,,,277,,,,,,,,,,,277,,,,,,,,0,,186,277,2,,0,,2,,14,1,,,277,,,,,,764,,,,,277,,,,,,,,0,,,277,19445.13,0,0,0,19445.13,19445.13,1,5,,3,277,,4,,196820.17,6096.13,0.313504,,,,277,Bellaire,TX,77401,1,1,,1145000,3,20120910,277,,,,,,,,0.7641,0.7641,0,0,0,277,,,,,,,,,,,277,,,,,,,,,,20,277,,0,20421101,19445.13,0,0,0,277,0,0,Full,Two Years,Two Months
,278,1000383,0.0025,,,9999999,Group 2,1140008051,1,1,0,278,6,,,,,,5,4,0,,278,,,0,,20121105,698000,0.04,360,360,20130101,278,1,0,0,,696994.31,0.04,3332.36,20130101,0,,278,,,,,,,,,,,278,,,,,,,,,,,278,,,,,,,,0,,172,278,1,,0,,0,0,0,1,,,278,,,,,,745,,,,,278,,,,,,,,0,,,278,12916.66,11666.66,0,0,24583.32,24583.32,1,5,,3,278,,4,,120697.45,4200.31,0.17086,,,100,278,BELLAIRE,TX,77401,1,1,998000,998000,3,20121008,278,,,,,,,,0.6993,0.6993,0,0,0,278,,,,,,,,,,,278,,,,,,,,,,15,278,13,0,20421201,12916.66,0,0,11666.66,278,0,0,Full,Two Years,Two Months
,279,1000383,0.0025,,,1008498,Group 2,1150003066,1,1,0,279,9,,,,,,5,0,0,,279,,,0,,20120601,656000,0.0475,360,360,20120801,279,1,0,0,,650216.91,0.0475,3422.01,20130101,0,,279,,,,,,,,,,,279,,,,,,,,,,,279,,,,,,,,0,,387,279,1,,0,,4,,8,1,20121212,,279,,,,,,702,695,,3,,279,,,,,,,,0,,,279,18750,0,0,0,18750,18750,1,5,,3,279,,4,,51146.99,4933.13,0.2631,,,,279,SPRING,TX,77382,1,1,,1440000,3,20120208,279,,,,,,,,0.4555,0.4555,0,0,0,279,,,,,,,,,,,279,,,,,,,,,,16,279,,0,20420701,18750,0,0,0,279,0,0,Full,Two Years,Two Months
,280,1000383,0.0025,,,1008498,Group 2,1150004497,1,1,0,280,9,,,,,,2,0,0,,280,,,0,,20120727,1000000,0.045,360,360,20120901,280,1,0,0,,993355.99,0.045,5066.85,20130101,0,,280,,,,,,,,,,,280,,,,,,,,,,,280,,,,,,,,0,,424,280,2,,0,,13.25,1,0.5,1,,,280,,,,,,785,,,,,280,,,,,,,,0,,,280,10417,13750,0,0,24167,24167,1,5,,3,280,,4,,118593.51,10307.78,0.426523,,,,280,SPRING,TX,77382,3,1,,1290000,3,20120715,280,,,,,,,,0.7751,0.7751,0,0,0,280,,,,,,,,,,,280,,,,,,,,,,25,280,14,0,20420801,10417,0,0,13750,280,0,0,Full,Two Years,Two Months
,281,1000383,0.0025,,,1008498,Group 2,1150004636,1,1,0,281,9,,,,,,5,4,0,,281,,,0,,20121005,850000,0.0425,360,360,20121201,281,1,0,0,,847653.71,0.0425,4181.49,20130101,0,,281,,,,,,,,,,,281,,,,,,,,,,,281,,,,,,,,0,,60,281,1,,1,,8.25,1,2,1,,,281,,,,,,723,,,,,281,,,,,,,,0,,,281,9395.17,9166.66,0,0,18561.83,18561.83,1,5,,3,281,,4,,356250.06,8246.28,0.44426,,,,281,TOMBALL,TX,77377,7,1,,1290000,3,20120808,281,,,,,,,,0.6589,0.6589,0,0,0,281,,,,,,,,,,,281,,,,,,,,,,38,281,10,0,20421101,9395.17,0,0,9166.66,281,0,0,Full,Two Years,Two Months
,282,1000383,0.0025,,,1008498,Group 2,1150004825,1,1,0,282,9,,,,,,2,0,0,,282,,,0,,20120808,1523000,0.04125,360,360,20121001,282,1,0,0,,1514372.03,0.04125,7381.22,20130101,0,,282,,,,,,,,,,,282,,,,,,,,,,,282,,,,,,,,0,,399,282,2,,1,,0,10.25,9,1,,,282,,,,,,760,,,,,282,,,,,,,,0,,,282,0,55676.41,0,0,55676.41,55676.41,1,5,,3,282,,4,,219025.07,10821.99,0.194373,,,,282,Montgomery,TX,77356,1,1,,2400000,3,20120713,282,,,,,,,,0.6345,0.6345,0,0,0,282,,,,,,,,,,,282,,,,,,,,,,0,282,10.25,0,20420901,0,0,0,55676.41,282,0,0,Full,Two Years,Two Months
,283,1000383,0.0025,,,1008498,Group 2,1150005176,1,1,0,283,3,,,,,,5,4,0,,283,,,0,,20120911,736000,0.04125,360,360,20121101,283,1,0,0,,732878.24,0.04125,3567.02,20130101,0,,283,,,,,,,,,,,283,,,,,,,,,,,283,,,,,,,,0,,338,283,1,,0,,2,12,14,1,,,283,,,,,,784,,,,,283,,,,,,,,0,,,283,7714.33,9335.85,0,0,17050.18,17050.18,1,5,,3,283,,4,,85723.59,5651.73,0.331476,,,,283,HUMBLE,TX,77346,1,1,,1930000,3,20120815,283,,,,,,,,0.3813,0.3813,0,0,0,283,,,,,,,,,,,283,,,,,,,,,,2,283,12,0,20421001,7714.33,0,0,9335.85,283,0,0,Full,Two Years,Two Months
,284,1000383,0.0025,,,1008498,Group 2,1150005292,1,1,0,284,9,,,,,,5,0,0,,284,,,0,,20120928,715000,0.04,360,360,20121101,284,1,0,0,,711622.27,0.04,3413.52,20130101,0,,284,,,,,,,,,,,284,,,,,,,,,,,284,,,,,,,,0,,477,284,1,,0,,3,,17,1,,,284,,,,,,789,,,,,284,,,,,,,,0,,,284,12043.25,0,0,0,12043.25,12043.25,1,5,,3,284,,4,,308110.3,4226.58,0.35095,,,,284,Kingwood,TX,77339,1,1,,1000000,3,20120911,284,,,,,,,,0.715,0.715,0,0,0,284,,,,,,,,,,,284,,,,,,,,,,3,284,,0,20421001,12043.25,0,0,0,284,0,0,Full,Two Years,Two Months
,285,1000383,0.0025,,,1008498,Group 2,1150005507,1,1,0,285,9,,,,,,5,0,0,,285,,,0,,20121025,1147000,0.04375,360,360,20121201,285,1,0,0,,1143904.31,0.04375,5726.8,20130101,0,,285,,,,,,,,,,,285,,,,,,,,,,,285,,,,,,,,0,,391,285,2,,1,,20.25,,14,1,,,285,,,,,,791,,,,,285,,,,,,,,0,,,285,21541.5,0,0,0,21541.5,21541.5,1,5,,3,285,,4,,239425.29,8796.47,0.40835,,,,285,WILLIS,TX,77318,1,1,,1565000,3,20120821,285,,,,,,,,0.7329,0.7329,0,0,0,285,,,,,,,,,,,285,,,,,,,,,,20.25,285,,0,20421101,21541.5,0,0,0,285,0,0,Full,Two Years,Two Months
,286,1000383,0.0025,,,1008498,Group 2,1150005739,1,1,0,286,3,,,,,,2,0,0,,286,,,0,,20120919,825000,0.04125,360,360,20121101,286,1,0,0,,821500.73,0.04125,3998.36,20130101,0,,286,,,,,,,,,,,286,,,,,,,,,,,286,,,,,,,,0,,423,286,3,,0,,2.5,,9,1,,,286,,,,,,776,,,,,286,,,,,,,,0,,,286,15453.6,0,3301,0,15453.6,18754.6,1,5,,3,286,,4,,663701.38,8118.49,0.43288,,,,286,Houston,TX,77030,1,1,,1369000,3,20120828,286,,,,,,,,0.6026,0.6026,0,0,0,286,,,,,,,,,,,286,,,,,,,,,,23,286,,0,20421001,15453.6,3301,0,0,286,0,0,Full,Two Years,Two Months
,287,1000383,0.0025,,,1008498,Group 2,1150006328,1,1,0,287,9,,,,,,2,4,0,,287,,,0,,20121106,962000,0.04125,360,360,20121201,287,1,0,0,,959284.44,0.04125,4662.33,20130101,0,,287,,,,,,,,,,,287,,,,,,,,,,,287,,,,,,,,0,,435,287,2,,0,,3.75,,0,1,,,287,,,,,,764,,,,,287,,,,,,,,0,,,287,20833.32,0,41992.84,0,20833.32,62826.16,1,5,,3,287,,4,,373910.94,17051.33,0.271405,,,,287,Houston,TX,77027,1,2,,2050000,3,20120912,287,,,,,,,,0.4692,0.4692,0,0,0,287,,,,,,,,,,,287,,,,,,,,,,20,287,,0,20421101,20833.32,41992.84,0,0,287,0,0,Full,Two Years,Two Months
,288,1000383,0.0025,,,1008498,Group 2,1150006379,1,1,0,288,7,,,,,,2,4,0,,288,,,0,,20120921,703120,0.04375,360,360,20121101,288,1,0,0,,700268.3,0.04375,3510.57,20130101,0,,288,,,,,,,,,,,288,,,,,,,,,,,288,,,,,,,,0,,361,288,2,,0,,2,,0,1,,,288,,,,,,783,,,,,288,,,,,,,,0,,,288,12553.33,0,937.5,0,12553.33,13490.83,1,5,,3,288,,4,,77751.83,5811.39,0.430766,,,100,288,Houston,TX,77025,7,1,878923,879000,3,20120822,288,,,,,,,,0.7999,0.7999,0,0,0,288,,,,,,,,,,,288,,,,,,,,,,12,288,,0,20421001,12553.33,0,0,0,288,0,0,Full,Two Years,Two Months
,289,1000383,0.0025,,,1008498,Group 2,1150006431,1,1,0,289,9,,,,,,5,4,0,,289,,,0,,20121015,650000,0.04125,360,360,20121201,289,1,0,0,,648165.17,0.04125,3150.22,20130101,0,,289,,,,,,,,,,,289,,,,,,,,,,,289,,,,,,,,0,,337,289,1,,1,,20,,5,1,,,289,,,,,,814,,,,,289,,,,,,,,0,,,289,14447.41,0,0,0,14447.41,14447.41,1,5,,3,289,,4,,354300,4544.23,0.314536,,,,289,Houston,TX,77024,7,1,,2500000,3,20120904,289,,,,,,,,0.26,0.26,0,0,0,289,,,,,,,,,,,289,,,,,,,,,,20,289,,0,20421101,14447.41,0,0,0,289,0,0,Full,Two Years,Two Months
,290,1000383,0.0025,,,1008498,Group 2,1150006623,1,1,0,290,9,,,,,,5,0,0,,290,,,215000,,20121019,706000,0.03875,360,360,20121201,290,1,0,0,,703916.48,0.03875,3319.87,20130101,0,,290,,,,,,,,,,,290,,,,,,,,,,,290,,,,,,,,0,,454,290,2,,1,,7.25,,3,1,,,290,,,,,,775,,,,,290,,,,,,,,0,,,290,33142.17,0,0,0,33142.17,33142.17,1,5,,3,290,,4,,394507.92,8379,0.25282,,,,290,HOUSTON,TX,77024,7,1,,1200000,3,20120923,290,,,,,,,,0.7675,0.5883,0,0,0,290,,,,,,,,,,,290,,,,,,,,,,7.25,290,,215000,20421101,33142.17,0,0,0,290,0,0,Full,Two Years,Two Months
,291,1000383,0.0025,,,1008498,Group 2,1150006651,1,1,0,291,9,,,,,,2,4,0,,291,,,0,,20121025,711000,0.0425,360,360,20121201,291,1,0,0,,709037.41,0.0425,3497.69,20130101,0,,291,,,,,,,,,,,291,,,,,,,,,,,291,,,,,,,,0,,403,291,2,,0,,17,,18,1,,,291,,,,,,793,,,,,291,,,,,,,,0,,,291,12495.38,0,2569,0,12495.38,15064.38,1,5,,3,291,,4,,162810.09,6200.35,0.41159,,,,291,HOUSTON,TX,77024,1,1,,1245000,3,20121015,291,,,,,,,,0.571,0.571,0,0,0,291,,,,,,,,,,,291,,,,,,,,,,26,291,,0,20421101,12495.38,2569,0,0,291,0,0,Full,Two Years,Two Months
,292,1000383,0.0025,,,1008498,Group 2,1150006772,1,1,0,292,9,,,,,,5,0,0,,292,,,0,,20121030,600000,0.0425,360,360,20130101,292,1,0,0,,599173.36,0.0425,2951.64,20130101,0,,292,,,,,,,,,,,292,,,,,,,,,,,292,,,,,,,,0,,290,292,2,,1,,20,,1,1,,,292,,,,,,793,,,,,292,,,,,,,,0,,,292,23760.92,0,0,0,23760.92,23760.92,1,5,,3,292,,4,,217874.74,3775.71,0.158904,,,,292,Houston,TX,77005,1,1,,854700,3,20120824,292,,,,,,,,0.702,0.702,0,0,0,292,,,,,,,,,,,292,,,,,,,,,,20,292,,0,20421201,23760.92,0,0,0,292,0,0,Full,Two Years,Two Months
,293,1000383,0.0025,,,1008498,Group 2,1150006876,1,1,0,293,9,,,,,,5,0,0,,293,,,0,,20121031,705000,0.04375,360,360,20130101,293,1,0,0,,704050.35,0.04375,3519.96,20130101,0,,293,,,,,,,,,,,293,,,,,,,,,,,293,,,,,,,,0,,507,293,1,,0,,6,,3,1,,,293,,,,,,761,,,,,293,,,,,,,,0,,,293,13835.53,0,0,0,13835.53,13835.53,1,5,,3,293,,4,,51060.03,5346.45,0.386429,,,,293,Houston,TX,77005,1,1,,916000,3,20120917,293,,,,,,,,0.7696,0.7696,0,0,0,293,,,,,,,,,,,293,,,,,,,,,,6,293,,0,20421201,13835.53,0,0,0,293,0,0,Full,Two Years,Two Months
,294,1000383,0.0025,,,1008498,Group 2,1150006900,1,1,0,294,9,,,,,,5,0,0,,294,,,0,,20121027,899000,0.03875,360,360,20121201,294,1,0,0,,896346.9,0.03875,4227.43,20130101,0,,294,,,,,,,,,,,294,,,,,,,,,,,294,,,,,,,,0,,218,294,1,,0,,16,4.25,5,1,,,294,,,,,,790,,,,,294,,,,,,,,0,,,294,10333.33,9776.4,0,0,20109.73,20109.73,1,5,,3,294,,4,,141258.67,7305.06,0.36326,,,,294,Houston,TX,77005,7,1,,1445000,3,20120912,294,,,,,,,,0.6221,0.6221,0,0,0,294,,,,,,,,,,,294,,,,,,,,,,25,294,20,0,20421101,10333.33,0,0,9776.4,294,0,0,Full,Two Years,Two Months
,295,1000383,0.0025,,,1008498,Group 2,1150006938,1,1,0,295,9,,,,,,5,4,0,,295,,,0,,20121101,1155000,0.03875,360,360,20130101,295,1,0,0,,1153298.45,0.03875,5431.24,20130101,0,,295,,,,,,,,,,,295,,,,,,,,,,,295,,,,,,,,0,,146,295,1,,0,,22,2.5,11,1,,,295,,,,,,781,,,,,295,,,,,,,,0,,,295,16982.41,8026.3,0,0,25008.71,25008.71,1,5,,3,295,,4,,122986.19,7414.11,0.296461,,,,295,FORT WORTH,TX,76132,1,1,,1650000,3,20121018,295,,,,,,,,0.7,0.7,0,0,0,295,,,,,,,,,,,295,,,,,,,,,,27,295,3,0,20421201,16982.41,0,0,8026.3,295,0,0,Full,Two Years,Two Months
,296,1000383,0.0025,,,1008498,Group 2,1150007031,1,1,0,296,9,,,,,,1,4,0,,296,,,0,,20121101,711000,0.04125,360,360,20121201,296,1,0,0,,708992.96,0.04125,3445.86,20130101,0,,296,,,,,,,,,,,296,,,,,,,,,,,296,,,,,,,,0,,476,296,3,,0,,30,18,7,1,,,296,,,,,,748,,,,,296,,,,,,,,0,,,296,6203.79,9468.72,0,0,15672.51,15672.51,1,5,,3,296,,4,,112342.74,2950.13,0.188236,,,,296,Fort Worth,TX,76107,1,1,,1000000,3,20121018,296,,,,,,,,0.711,0.711,0,0,0,296,,,,,,,,,,,296,,,,,,,,,,30,296,18,0,20421101,6203.79,0,0,9468.72,296,0,0,Full,Two Years,Two Months
,297,1000383,0.0025,,,1008498,Group 2,1150007094,1,1,0,297,7,,,,,,5,0,0,,297,,,0,,20121016,1000000,0.04375,360,360,20121201,297,1,0,0,,997301.05,0.04375,4992.85,20130101,0,,297,,,,,,,,,,,297,,,,,,,,,,,297,,,,,,,,0,,421,297,4,,1,,17,17,0,1,,,297,,,,,,728,,,,,297,,,,,,,,0,,,297,28531,28531,0,0,57062,57062,1,5,,3,297,,4,,292631.18,11507.47,0.201666,,,100,297,FORT WORTH,TX,76107,7,1,1490000,1490000,3,20120925,297,,,,,,,,0.6711,0.6711,0,0,0,297,,,,,,,,,,,297,,,,,,,,,,32,297,30,0,20421101,28531,0,0,28531,297,0,0,Full,Two Years,Two Months
,298,1000383,0.0025,,,1008498,Group 2,1150007101,1,1,0,298,7,,,,,,5,0,0,,298,,,0,,20121010,520000,0.04375,360,360,20121201,298,1,0,0,,518596.55,0.04375,2596.28,20130101,0,,298,,,,,,,,,,,298,,,,,,,,,,,298,,,,,,,,0,,437,298,2,,0,,3,2,0,1,,,298,,,,,,763,,,,,298,,,,,,,,0,,,298,4556.5,6944.62,0,0,11501.12,11501.12,1,5,,3,298,,4,,128544.33,4165.96,0.362222,,,74.63,298,Southlake,TX,76092,1,1,650000,650000,3,20120924,298,,,,,,,,0.8,0.8,0,0,0,298,,,,,,,,,,,298,,,,,,,,,,17,298,12,0,20421101,4556.5,0,0,6944.62,298,0,0,Full,Two Years,Two Months
,299,1000383,0.0025,,,1008498,Group 2,1150007464,1,1,0,299,9,,,,,,2,4,0,,299,,,0,,20121026,476000,0.03875,360,360,20121201,299,1,0,0,,474595.24,0.03875,2238.33,20130101,0,,299,,,,,,,,,,,299,,,,,,,,,,,299,,,,,,,,0,,9,299,1,,0,,7,9,1,1,,,299,,,,,,726,,,,,299,,,,,,,,0,,,299,5833.33,2708.51,0,0,8541.84,8541.84,1,5,,3,299,,4,,106829,3615.37,0.423254,,,,299,Colleyville,TX,76034,1,1,,650000,3,20120924,299,,,,,,,,0.7323,0.7323,0,0,0,299,,,,,,,,,,,299,,,,,,,,,,7,299,9,0,20421101,5833.33,0,0,2708.51,299,0,0,Full,Two Years,Two Months
,300,1000383,0.0025,,,1008498,Group 2,1150007520,1,1,0,300,9,,,,,,5,0,0,,300,,,0,,20121018,705000,0.04,360,360,20121201,300,1,0,0,,702965.06,0.04,3365.78,20130101,0,,300,,,,,,,,,,,300,,,,,,,,,,,300,,,,,,,,0,,426,300,1,,0,,8,23,5,1,,,300,,,,,,790,,,,,300,,,,,,,,0,,,300,7500,10426,0,0,17926,17926,1,5,,3,300,,4,,236641.68,4501.04,0.25109,,,,300,Dalworthington Gardens,TX,76016,1,1,,940000,3,20120922,300,,,,,,,,0.75,0.75,0,0,0,300,,,,,,,,,,,300,,,,,,,,,,8,300,23,0,20421101,7500,0,0,10426,300,0,0,Full,Two Years,Two Months
,301,1000383,0.0025,,,1008498,Group 2,1150007859,1,1,0,301,7,,,,,,1,0,0,,301,,,0,,20121115,720000,0.0425,360,360,20130101,301,1,0,0,,719008.03,0.0425,3541.97,20130101,0,,301,,,,,,,,,,,301,,,,,,,,,,,301,,,,,,,,0,,493,301,1,,0,,11,,0,1,,,301,,,,,,797,,,,,301,,,,,,,,0,,,301,15833.34,0,0,0,15833.34,15833.34,1,5,,3,301,,4,,96308.89,4706.97,0.297282,,,100,301,ARLINGTON,TX,76012,1,1,900000,900000,3,20121106,301,,,,,,,,0.8,0.8,0,0,0,301,,,,,,,,,,,301,,,,,,,,,,11,301,,0,20421201,15833.34,0,0,0,301,0,0,Full,Two Years,Two Months
,302,1000383,0.0025,,,9999999,Group 2,1160007111,1,1,0,302,7,,,,,,1,0,0,,302,,,0,,20120926,783200,0.04375,360,360,20121101,302,1,0,0,,780023.5,0.04375,3910.4,20130101,0,,302,,,,,,,,,,,302,,,,,,,,,,,302,,,,,,,,0,,25,302,2,,0,,19,,0,1,,,302,,,,,,798,,,,,302,,,,,,,,0,,,302,18985.86,0,0,0,18985.86,18985.86,1,5,,3,302,,4,,442604.61,7985.38,0.420596,,,100,302,Addison,TX,75254,1,1,979000,979000,3,20120906,302,,,,,,,,0.8,0.8,0,0,0,302,,,,,,,,,,,302,,,,,,,,,,23,302,,0,20421001,18985.86,0,0,0,302,0,0,Full,Two Years,Two Months
,303,1000383,0.0025,,,9999999,Group 2,1160008289,1,1,0,303,9,,,,,,1,0,0,,303,,,0,,20121107,900000,0.0375,360,360,20130101,303,1,0,0,,898644.46,0.0375,4168.04,20130101,0,,303,,,,,,,,,,,303,,,,,,,,,,,303,,,,,,,,0,,54,303,1,,0,,39,2,11,1,,,303,,,,,,759,,,,,303,,,,,,,,0,,,303,8861.58,2677.33,16207.04,0,11538.91,27745.95,1,5,,3,303,,4,,246998.01,7969.14,0.287218,,,,303,Dallas,TX,75230,3,1,,1550000,3,20121018,303,,,,,,,,0.5806,0.5806,0,0,0,303,,,,,,,,,,,303,,,,,,,,,,43,303,38,0,20421201,8861.58,0,0,2677.33,303,0,0,Full,Two Years,Two Months
,304,1000383,0.0025,,,9999999,Group 2,1160008528,1,1,0,304,9,,,,,,1,0,0,,304,,,0,,20121025,898000,0.03875,360,360,20121201,304,1,0,0,,895349.85,0.03875,4222.73,20130101,0,,304,,,,,,,,,,,304,,,,,,,,,,,304,,,,,,,,0,,204,304,1,,0,,2.25,1,3.25,1,,,304,,,,,,732,,,,,304,,,,,,,,0,,,304,13596.18,16666.67,0,0,30262.85,30262.85,1,5,,3,304,,4,,68651.97,8289.75,0.273925,,,,304,Dallas,TX,75229,1,1,,1510000,3,20121004,304,,,,,,,,0.5947,0.5947,0,0,0,304,,,,,,,,,,,304,,,,,,,,,,30,304,10,0,20421101,13596.18,0,0,16666.67,304,0,0,Full,Two Years,Two Months
,305,1000383,0.0025,,,9999999,Group 2,1160008790,1,1,0,305,9,,,,,,1,4,0,,305,,,0,,20121105,885000,0.03875,360,360,20130101,305,1,0,0,,883696.21,0.03875,4161.6,20130101,0,,305,,,,,,,,,,,305,,,,,,,,,,,305,,,,,,,,0,,369,305,3,,1,,14,17,2,1,,,305,,,,,,775,,,,,305,,,,,,,,0,,,305,16900,6760.13,79059,0,23660.13,102719.13,1,5,,3,305,,4,,74137.5,7523.87,0.073247,,,,305,Dallas,TX,75229,1,1,,1200000,3,20121015,305,,,,,,,,0.7375,0.7375,0,0,0,305,,,,,,,,,,,305,,,,,,,,,,14,305,17,0,20421201,16900,0,0,6760.13,305,0,0,Full,Two Years,Two Months
,306,1000383,0.0025,,,9999999,Group 2,1170007518,1,1,0,306,9,,,,,,5,0,0,,306,,,0,,20121018,859590,0.03875,360,360,20121201,306,1,0,0,,857053.21,0.03875,4042.11,20130101,0,,306,,,,,,,,,,,306,,,,,,,,,,,306,,,,,,,,0,,314,306,1,,0,,12,,4,1,,,306,,,,,,794,,,,,306,,,,,,,,0,,,306,22916.66,0,17744.5,0,22916.66,40661.16,0,5,,3,306,,4,,539437.83,7480.96,0.183983,,,,306,Dallas,TX,75225,7,1,,1475000,3,20120926,306,,,,,,,,0.5827,0.5827,0,0,0,306,,,,,,,,,,,306,,,,,,,,,,20,306,,0,20421101,22916.66,0,0,0,306,0,0,Full,Two Years,Two Months
,307,1000383,0.0025,,,9999999,Group 2,1180006947,1,1,0,307,7,,,,,,1,4,0,,307,,,0,,20121025,584000,0.0425,360,360,20121201,307,1,0,0,,582387.95,0.0425,2872.93,20130101,0,,307,,,,,,,,,,,307,,,,,,,,,,,307,,,,,,,,0,,134,307,2,,0,,5,9,0,1,,,307,,,,,,783,,,,,307,,,,,,,,0,,,307,6371.09,27083.32,0,0,33454.41,33454.41,1,5,,3,307,,4,,133453.25,6631.94,0.198238,,,100,307,Dallas,TX,75225,1,1,730000,738000,3,20120925,307,,,,,,,,0.8,0.8,0,0,0,307,,,,,,,,,,,307,,,,,,,,,,5,307,9,0,20421101,6371.09,0,0,27083.32,307,0,0,Full,Two Years,Two Months
,308,1000383,0.0025,,,9999999,Group 2,1200006132,1,1,0,308,7,,,,,,1,0,0,,308,,,0,,20121026,1425000,0.04125,360,360,20121201,308,1,0,0,,1420977.47,0.04125,6906.26,20130101,0,,308,,,,,,,,,,,308,,,,,,,,,,,308,,,,,,,,0,,513,308,2,,1,,9,3.5,0,1,,,308,,,,,,742,,,,,308,,,,,,,,0,,,308,40338.75,6000,0,1976.55,46338.75,48315.3,1,5,,3,308,,4,,949984.85,15648.21,0.323877,,,100,308,Dallas,TX,75220,1,1,1900000,1900000,3,20120928,308,,,,,,,,0.75,0.75,0,0,0,308,,,,,,,,,,,308,,,,,,,,,,9.5,308,10.5,0,20421101,40338.75,0,0,6000,308,1976.55,0,Full,Two Years,Two Months
,309,1000383,0.0025,,,9999999,Group 2,1200006549,1,1,0,309,9,,,,,,1,0,0,,309,,,0,,20121016,501000,0.03875,360,360,20121201,309,1,0,0,,499521.47,0.03875,2355.89,20130101,0,,309,,,,,,,,,,,309,,,,,,,,,,,309,,,,,,,,0,,486,309,1,,0,,2.25,,2,1,,,309,,,,,,790,,,,,309,,,,,,,,0,,,309,19166.67,0,0,0,19166.67,19166.67,1,5,,3,309,,4,,106440.66,4077.36,0.212732,,,,309,Dallas,TX,75218,7,1,,750000,3,20120913,309,,,,,,,,0.668,0.668,0,0,0,309,,,,,,,,,,,309,,,,,,,,,,30,309,,0,20421101,19166.67,0,0,0,309,0,0,Full,Two Years,Two Months
,310,1000383,0.0025,,,9999999,Group 2,1200006741,1,1,0,310,9,,,,,,1,4,0,,310,,,0,,20121022,733000,0.04125,360,360,20121201,310,1,0,0,,730930.86,0.04125,3552.48,20130101,0,,310,,,,,,,,,,,310,,,,,,,,,,,310,,,,,,,,0,,478,310,2,,0,,3.5,3.5,1,1,,,310,,,,,,788,,,,,310,,,,,,,,0,,,310,20108.33,5125,0,0,25233.33,25233.33,1,5,,3,310,,4,,45667.36,8090.51,0.320628,,,,310,Dallas,TX,75209,1,1,,960000,3,20120908,310,,,,,,,,0.7635,0.7635,0,0,0,310,,,,,,,,,,,310,,,,,,,,,,20,310,7,0,20421101,20108.33,0,0,5125,310,0,0,Full,Two Years,Two Months
